Baseline_Model_ID,Context_Length,Metric,BareTorch_Matched_Value,Baseline_Value,BareTorch_Advantage
HuggingFaceTB/SmolLM2-1.7B,512,Prefill_Latency_ms,18.73,17.95,-4.35%
HuggingFaceTB/SmolLM2-1.7B,512,Local_GPU_Decode_tok_s,158.58,177.42,0.89x
HuggingFaceTB/SmolLM2-1.7B,512,Decode_VRAM_MB,3385.95,3485.44,-2.85%
HuggingFaceTB/SmolLM2-1.7B,1024,Prefill_Latency_ms,30.89,32.51,+4.98%
HuggingFaceTB/SmolLM2-1.7B,1024,Local_GPU_Decode_tok_s,159.06,155.08,1.03x
HuggingFaceTB/SmolLM2-1.7B,1024,Decode_VRAM_MB,3411.97,3668.32,-6.99%
HuggingFaceTB/SmolLM2-1.7B,2048,Prefill_Latency_ms,57.00,69.51,+18.00%
HuggingFaceTB/SmolLM2-1.7B,2048,Local_GPU_Decode_tok_s,160.11,122.63,1.31x
HuggingFaceTB/SmolLM2-1.7B,2048,Decode_VRAM_MB,3433.98,4052.32,-15.26%
HuggingFaceTB/SmolLM2-1.7B,4096,Prefill_Latency_ms,112.21,158.19,+29.07%
HuggingFaceTB/SmolLM2-1.7B,4096,Local_GPU_Decode_tok_s,158.83,85.18,1.86x
HuggingFaceTB/SmolLM2-1.7B,4096,Decode_VRAM_MB,3498.00,4820.32,-27.43%
HuggingFaceTB/SmolLM2-1.7B,8192,Prefill_Latency_ms,233.09,398.21,+41.47%
HuggingFaceTB/SmolLM2-1.7B,8192,Local_GPU_Decode_tok_s,159.84,52.51,3.04x
HuggingFaceTB/SmolLM2-1.7B,8192,Decode_VRAM_MB,3626.02,6356.32,-42.95%
HuggingFaceTB/SmolLM2-1.7B,16384,Prefill_Latency_ms,493.19,1266.98,+61.07%
HuggingFaceTB/SmolLM2-1.7B,16384,Local_GPU_Decode_tok_s,127.51,29.78,4.28x
HuggingFaceTB/SmolLM2-1.7B,16384,Decode_VRAM_MB,3882.02,9428.32,-58.83%
HuggingFaceTB/SmolLM2-1.7B,32768,Prefill_Latency_ms,1134.20,4292.54,+73.58%
HuggingFaceTB/SmolLM2-1.7B,32768,Local_GPU_Decode_tok_s,98.92,15.79,6.26x
HuggingFaceTB/SmolLM2-1.7B,32768,Decode_VRAM_MB,4394.02,15572.34,-71.78%
meta-llama/Llama-3.2-1B,512,Prefill_Latency_ms,11.98,14.35,+16.52%
meta-llama/Llama-3.2-1B,512,Local_GPU_Decode_tok_s,257.00,249.67,1.03x
meta-llama/Llama-3.2-1B,512,Decode_VRAM_MB,2431.67,2404.74,--1.12%
meta-llama/Llama-3.2-1B,1024,Prefill_Latency_ms,18.25,24.81,+26.44%
meta-llama/Llama-3.2-1B,1024,Local_GPU_Decode_tok_s,259.12,221.25,1.17x
meta-llama/Llama-3.2-1B,1024,Decode_VRAM_MB,2440.98,2446.43,-0.22%
meta-llama/Llama-3.2-1B,2048,Prefill_Latency_ms,33.69,52.70,+36.07%
meta-llama/Llama-3.2-1B,2048,Local_GPU_Decode_tok_s,263.28,183.06,1.44x
meta-llama/Llama-3.2-1B,2048,Decode_VRAM_MB,2461.09,2512.75,-2.06%
meta-llama/Llama-3.2-1B,4096,Prefill_Latency_ms,65.71,118.68,+44.63%
meta-llama/Llama-3.2-1B,4096,Local_GPU_Decode_tok_s,261.58,132.65,1.97x
meta-llama/Llama-3.2-1B,4096,Decode_VRAM_MB,2498.45,2656.75,-5.96%
meta-llama/Llama-3.2-1B,8192,Prefill_Latency_ms,130.04,291.33,+55.36%
meta-llama/Llama-3.2-1B,8192,Local_GPU_Decode_tok_s,262.24,81.63,3.21x
meta-llama/Llama-3.2-1B,8192,Decode_VRAM_MB,2571.52,2944.76,-12.67%
meta-llama/Llama-3.2-1B,16384,Prefill_Latency_ms,274.32,872.75,+68.57%
meta-llama/Llama-3.2-1B,16384,Local_GPU_Decode_tok_s,222.79,45.67,4.88x
meta-llama/Llama-3.2-1B,16384,Decode_VRAM_MB,2720.34,3520.77,-22.73%
meta-llama/Llama-3.2-1B,32768,Prefill_Latency_ms,598.36,2960.03,+79.79%
meta-llama/Llama-3.2-1B,32768,Local_GPU_Decode_tok_s,169.24,24.44,6.92x
meta-llama/Llama-3.2-1B,32768,Decode_VRAM_MB,3018.35,4672.81,-35.41%
Qwen/Qwen3-0.6B,512,Prefill_Latency_ms,12.47,16.06,+22.35%
Qwen/Qwen3-0.6B,512,Local_GPU_Decode_tok_s,172.22,136.76,1.26x
Qwen/Qwen3-0.6B,512,Decode_VRAM_MB,1243.54,1272.82,-2.30%
Qwen/Qwen3-0.6B,1024,Prefill_Latency_ms,11.10,18.18,+38.94%
Qwen/Qwen3-0.6B,1024,Local_GPU_Decode_tok_s,174.39,138.37,1.26x
Qwen/Qwen3-0.6B,1024,Decode_VRAM_MB,1250.12,1384.96,-9.74%
Qwen/Qwen3-0.6B,2048,Prefill_Latency_ms,18.68,43.15,+56.71%
Qwen/Qwen3-0.6B,2048,Local_GPU_Decode_tok_s,169.43,134.08,1.26x
Qwen/Qwen3-0.6B,2048,Decode_VRAM_MB,1263.28,1617.67,-21.91%
Qwen/Qwen3-0.6B,4096,Prefill_Latency_ms,32.24,116.87,+72.41%
Qwen/Qwen3-0.6B,4096,Local_GPU_Decode_tok_s,175.11,90.70,1.93x
Qwen/Qwen3-0.6B,4096,Decode_VRAM_MB,1289.53,2080.97,-38.03%
Qwen/Qwen3-0.6B,8192,Prefill_Latency_ms,62.52,346.07,+81.93%
Qwen/Qwen3-0.6B,8192,Local_GPU_Decode_tok_s,171.12,50.07,3.42x
Qwen/Qwen3-0.6B,8192,Decode_VRAM_MB,1347.70,3008.98,-55.21%
Qwen/Qwen3-0.6B,16384,Prefill_Latency_ms,133.83,1180.54,+88.66%
Qwen/Qwen3-0.6B,16384,Local_GPU_Decode_tok_s,172.19,25.79,6.68x
Qwen/Qwen3-0.6B,16384,Decode_VRAM_MB,1448.87,4864.99,-70.22%
Qwen/Qwen3-0.6B,32768,Prefill_Latency_ms,314.89,4343.26,+92.75%
Qwen/Qwen3-0.6B,32768,Local_GPU_Decode_tok_s,164.49,13.15,12.51x
Qwen/Qwen3-0.6B,32768,Decode_VRAM_MB,1660.37,8577.02,-80.64%
google/gemma-2-2b,512,Prefill_Latency_ms,19.96,27.95,+28.59%
google/gemma-2-2b,512,Local_GPU_Decode_tok_s,151.11,121.79,1.24x
google/gemma-2-2b,512,Decode_VRAM_MB,5058.98,5118.53,-1.16%
google/gemma-2-2b,1024,Prefill_Latency_ms,30.63,50.66,+39.54%
google/gemma-2-2b,1024,Local_GPU_Decode_tok_s,153.24,107.88,1.42x
google/gemma-2-2b,1024,Decode_VRAM_MB,5078.71,5212.50,-2.57%
google/gemma-2-2b,2048,Prefill_Latency_ms,55.98,107.20,+47.78%
google/gemma-2-2b,2048,Local_GPU_Decode_tok_s,152.42,88.88,1.71x
google/gemma-2-2b,2048,Decode_VRAM_MB,5103.70,5419.73,-5.83%
google/gemma-2-2b,4096,Prefill_Latency_ms,107.73,47871.92,+99.77%
google/gemma-2-2b,4096,Local_GPU_Decode_tok_s,143.53,0.27,531.59x
google/gemma-2-2b,4096,Decode_VRAM_MB,5158.78,6247.71,-17.43%
google/gemma-2-2b,8192,Prefill_Latency_ms,223.75,610.76,+63.37%
google/gemma-2-2b,8192,Local_GPU_Decode_tok_s,142.16,49.37,2.88x
google/gemma-2-2b,8192,Decode_VRAM_MB,5273.43,6348.00,-16.93%
google/gemma-2-2b,16384,Prefill_Latency_ms,465.56,61438.08,+99.24%
google/gemma-2-2b,16384,Local_GPU_Decode_tok_s,126.86,33.57,3.78x
google/gemma-2-2b,16384,Decode_VRAM_MB,5501.63,7411.65,-25.77%
google/gemma-2-2b,32768,Prefill_Latency_ms,1049.72,💥 OOM,N/A
google/gemma-2-2b,32768,Local_GPU_Decode_tok_s,101.51,💥 OOM,N/A
google/gemma-2-2b,32768,Decode_VRAM_MB,5957.70,💥 OOM,N/A
Qwen/Qwen2.5-1.5B,512,Prefill_Latency_ms,21.12,18.53,-13.98%
