Baseline_Model_ID,Context_Length,Metric,BareTorch_Matched_Value,Baseline_Value,BareTorch_Advantage
meta-llama/Llama-3.2-1B,2048,Prefill_Latency_ms,44.36,58.3,+23.91%
meta-llama/Llama-3.2-1B,2048,Local_GPU_Decode_tok_s,245.5,89.41,2.75x
meta-llama/Llama-3.2-1B,2048,Active_Cache_MB,11.38,64.0,-82.22%
meta-llama/Llama-3.2-1B,2048,Projected_FPS_raspberry_pi_5,7.34,7.19,1.02x
meta-llama/Llama-3.2-1B,2048,Projected_FPS_qualcomm_8_gen3,25.91,25.38,1.02x
meta-llama/Llama-3.2-1B,2048,Projected_FPS_iphone_16_pro,64.78,63.44,1.02x
meta-llama/Llama-3.2-1B,2048,Projected_FPS_apple_m3_max,129.57,126.88,1.02x
meta-llama/Llama-3.2-1B,4096,Prefill_Latency_ms,84.79,112.89,+24.89%
meta-llama/Llama-3.2-1B,4096,Local_GPU_Decode_tok_s,253.61,94.85,2.67x
meta-llama/Llama-3.2-1B,4096,Active_Cache_MB,22.44,128.0,-82.47%
meta-llama/Llama-3.2-1B,4096,Projected_FPS_raspberry_pi_5,7.31,7.0,1.04x
meta-llama/Llama-3.2-1B,4096,Projected_FPS_qualcomm_8_gen3,25.79,24.72,1.04x
meta-llama/Llama-3.2-1B,4096,Projected_FPS_iphone_16_pro,64.48,61.81,1.04x
meta-llama/Llama-3.2-1B,4096,Projected_FPS_apple_m3_max,128.97,123.62,1.04x
meta-llama/Llama-3.2-1B,8192,Prefill_Latency_ms,167.98,244.69,+31.35%
meta-llama/Llama-3.2-1B,8192,Local_GPU_Decode_tok_s,253.52,85.54,2.96x
meta-llama/Llama-3.2-1B,8192,Active_Cache_MB,44.57,256.0,-82.59%
meta-llama/Llama-3.2-1B,8192,Projected_FPS_raspberry_pi_5,7.24,6.66,1.09x
meta-llama/Llama-3.2-1B,8192,Projected_FPS_qualcomm_8_gen3,25.56,23.51,1.09x
meta-llama/Llama-3.2-1B,8192,Projected_FPS_iphone_16_pro,63.89,58.78,1.09x
meta-llama/Llama-3.2-1B,8192,Projected_FPS_apple_m3_max,127.78,117.56,1.09x
meta-llama/Llama-3.2-1B,16384,Prefill_Latency_ms,364.23,588.5,+38.11%
meta-llama/Llama-3.2-1B,16384,Local_GPU_Decode_tok_s,220.11,89.94,2.45x
meta-llama/Llama-3.2-1B,16384,Active_Cache_MB,88.82,512.0,-82.65%
meta-llama/Llama-3.2-1B,16384,Projected_FPS_raspberry_pi_5,7.11,6.07,1.17x
meta-llama/Llama-3.2-1B,16384,Projected_FPS_qualcomm_8_gen3,25.09,21.41,1.17x
meta-llama/Llama-3.2-1B,16384,Projected_FPS_iphone_16_pro,62.73,53.54,1.17x
meta-llama/Llama-3.2-1B,16384,Projected_FPS_apple_m3_max,125.47,107.07,1.17x
meta-llama/Llama-3.2-1B,32768,Prefill_Latency_ms,794.21,1423.79,+44.22%
meta-llama/Llama-3.2-1B,32768,Local_GPU_Decode_tok_s,170.43,96.14,1.77x
meta-llama/Llama-3.2-1B,32768,Active_Cache_MB,177.32,1024.0,-82.68%
meta-llama/Llama-3.2-1B,32768,Projected_FPS_raspberry_pi_5,6.86,5.15,1.33x
meta-llama/Llama-3.2-1B,32768,Projected_FPS_qualcomm_8_gen3,24.22,18.17,1.33x
meta-llama/Llama-3.2-1B,32768,Projected_FPS_iphone_16_pro,60.55,45.43,1.33x
meta-llama/Llama-3.2-1B,32768,Projected_FPS_apple_m3_max,121.09,90.86,1.33x
Qwen/Qwen2.5-1.5B-Instruct,2048,Prefill_Latency_ms,60.87,70.67,+13.87%
Qwen/Qwen2.5-1.5B-Instruct,2048,Local_GPU_Decode_tok_s,140.16,52.27,2.68x
Qwen/Qwen2.5-1.5B-Instruct,2048,Active_Cache_MB,19.62,56.0,-64.96%
Qwen/Qwen2.5-1.5B-Instruct,2048,Projected_FPS_raspberry_pi_5,5.87,5.8,1.01x
Qwen/Qwen2.5-1.5B-Instruct,2048,Projected_FPS_qualcomm_8_gen3,20.73,20.48,1.01x
